Japanese,English,Reading
アニミズム,animism,アニミズム
アニメ,animation,アニメ
アニメーション,animation,アニメーション
アニメーター,animator,アニメーター
アニュアルレポート,annual report,アニュアルレポート
アヌス,anus,アヌス
アネクドート,anecdote,アネクドート
アネクメーネ,Anoekumene,アネクメーネ
アノード,anode,アノード
アノニマス,anonymous,アノニマス
アノニム,anonym,アノニム
アノラック,anorak,アノラック
アノレクシア,anorexia,アノレクシア
アバウト,approximate (number),アバウト
アバンギャルド,avant-garde,アバンギャルド
アバンゲール,pre-WWII generation,アバンゲール
アバンチュール,amorous adventure,アバンチュール
アパーチャ,aperture,アパーチャ
アパート,apartment building,アパート
アパート荒らし,apartment house robbery (robber),アパートあらし
アパシー,apathy,アパシー
アパタイト,appetite,アパタイト
アパッシュ,apache,アパッシュ
アパッチ,Apache (people),アパッチ
アパルトヘイト,apartheid,アパルトヘイト
アビタシオン,habitation,アビタシオン
アビリティー,ability,アビリティー
アビリンピック,ability Olympics,アビリンピック
アピール,appeal (e.g. for peace),アピール
アピアランスマネー,appearance money,アピアランスマネー
アフェア,affair,アフェア
アフォリズム,aphorism,アフォリズム
アフリカーナー,Afrikaner,アフリカーナー
アフター,after,アフター
アフターケア,aftercare,アフターケア
アフターサービス,after-sales service,アフターサービス
アフターシェーブローション,after-shave lotion,アフターシェーブローション
アフタースキー,après ski,アフタースキー
アフターレコーディング,postrecording (dialogue or sounds),アフターレコーディング
アフターヌーン,afternoon,アフターヌーン
アフタヌーンシャドー,afternoon shadow,アフタヌーンシャドー
アフタヌーンドレス,afternoon dress,アフタヌーンドレス
アフラトキシン,aflatoxin,アフラトキシン
アフリカーンス,Afrikaans (language),アフリカーンス
アフリカの角,Horn of Africa,アフリカのつの
アフレコ,postrecording (dialogue or sounds),アフレコ
アフロ,Afro,アフロ
アフロキューバンリズム,Afro-Cuban rhythm,アフロキューバンリズム
アフロヘア,Afro-hair,アフロヘア
アブサン,absinthe,アブサン
アブストラクション,abstraction,アブストラクション
アブストラクト,"abstract (e.g. art, music)",アブストラクト
アブソリューティズム,absolutism,アブソリューティズム
アブノーマル,abnormal,アブノーマル
アプザイレン,abseiling,アプザイレン
アプライ,apply,アプライ
アプリ,app,アプリ
アプリオリ,a priori,アプリオリ
アプリケーション,application,アプリケーション
アプリケーションプログラム,application program,アプリケーションプログラム
アプリコット,apricot,アプリコット
アプル,A Programming Language,アプル
アプレゲール,post-war,アプレゲール
アプローチ,"approach (to a problem, issue, etc.)",アプローチ
アプローチショット,approach shot,アプローチショット
アプローチライト,approach light,アプローチライト
アヘッド,ahead,アヘッド
アベイラビリティ,availability,アベイラビリティ
アベック,(romantic) couple,アベック
アベニュー,avenue,アベニュー
アベレージ,average,アベレージ
アベレージゴルファー,average golfer,アベレージゴルファー
アペタイザー,appetizer,アペタイザー
アペリティフ,aperitif,アペリティフ
アペンド,append,アペンド
アホロートル,axolotl (Ambystoma mexicanum),アホロートル
アボート,abort,アボート
アボカド,avocado (Persea americana),アボカド
アボリジニ,(Australian) Aborigine,アボリジニ
アポインテシステム,appointment system,アポインテシステム
アポインテメントシステム,appointment system,アポインテメントシステム
アポイント,appointment,アポイント
アポイントメント,appointment,アポイントメント
アポクロマート,apochromat,アポクロマート
アポステリオリ,a posteriori,アポステリオリ
アポストロフィ,apostrophe,アポストロフィ
アポリア,aporia,アポリア
アマ,amateur,アマ
アマチュア,amateur,アマチュア
アマチュアリズム,amateurism,アマチュアリズム
アマルガム,amalgam,アマルガム
アマン,lover,アマン
アミ,friend,アミ
アミノ酸,amino acid,アミノさん
アミューズメント,amusement,アミューズメント
アミューズメントセンター,amusement center,アミューズメントセンター
アミラーゼ,amylase,アミラーゼ
アムール,love,アムール
アムネスティ,amnesty,アムネスティ
アメーバ,amoeba,アメーバ
アメーバ運動,ameboid movement,アメーバうんどう
アメシスト,amethyst,アメシスト
アメスラン,Ameslan,アメスラン
アメダス,Automated Meteorological Data Acquisition System,アメダス
アメニティ,amenity,アメニティ
アメフト,American football,アメフト
アメラグ,American football,アメラグ
アメリカズカップレース,America's Cup race,アメリカズカップレース
アメリカナイズ,Americanization,アメリカナイズ
アメリカニズム,Americanism,アメリカニズム
アメリカン,American,アメリカン
アメリカンコーヒー,American-style (weak) drip coffee,アメリカンコーヒー
アメリカンフットボール,American football,アメリカンフットボール
アメリカンプラン,American plan,アメリカンプラン
アメリカンリーグ,American League,アメリカンリーグ
アメリカ人,American person,アメリカじん
アメリカ豹,jaguar,アメリカひょう
アメリシウム,americium (Am),アメリシウム
アモルファス,amorphous,アモルファス
アヤトラ,ayatollah,アヤトラ
アラー,Allah,アラー
アラーム,alarm,アラーム
アライアンス,alliance,アライアンス
アラウンド,around,アラウンド
アラカルト,à la carte,アラカルト
アラビアンライト,Arabian light,アラビアンライト
アラビア数字,Arabic numeral,アラビアすうじ
アラブ,Arab,アラブ
アラベスク,arabesque,アラベスク
アラモード,a la mode,アラモード
アリーナ,arena,アリーナ
アリア,aria,アリア
アリゲーター,alligator,アリゲーター
アリストクラシー,aristocracy,アリストクラシー
アリストクラット,aristocrat,アリストクラット
アリッグ,American league,アリッグ
アリバイ,alibi,アリバイ
アルカイスム,archaism,アルカイスム
アルカイック,archaic,アルカイック
アルカディア,arcadia,アルカディア
亜爾加里,alkali,アルカリ
アルカリ性,alkalinity,アルカリせい
アルカローシス,alkalosis,アルカローシス
アルカロイド,alkaloid,アルカロイド
アルギン酸,alginic acid,アルギンさん
アルコーブ,alcove,アルコーブ
アルコール,alcohol,アルコール
アルコール依存症,alcohol dependency,アルコールいぞんしょう
アルゴリズミック,algorithmic,アルゴリズミック
アルゴリズム,algorithm,アルゴリズム
アルゴル,Algol (algorithmic language),アルゴル
アルゴン,argon (Ar),アルゴン
アルシオーネ,"Alcyone (star in the constellation Taurus, brightest of the Pleiades)",アルシオーネ
アルチザン,artisan,アルチザン
アルツハイマー病,Alzheimer's disease,アルツハイマーびょう
アルデヒド,aldehyde,アルデヒド
アルト,alto,アルト
アルバイト,part-time job,アルバイト
アルバトロス,albatross (seabird),アルバトロス
アルバム,album,アルバム
アルパイン,alpine,アルパイン
アルパカ,alpaca (Vicugna pacos),アルパカ
アルビノ,albino,アルビノ
アルビレオ,Albireo (aka Beta Cygni),アルビレオ
アルピニスト,alpinist,アルピニスト
アルピニズム,alpinism,アルピニズム
Α,alpha,アルファ
アルファベット,alphabet,アルファベット
アルファルド,Alphard (aka Alpha Hydra),アルファルド
アルファ線,alpha ray,アルファせん
アルブミン,albumin,アルブミン
アルプス,the Alps,アルプス
アルペジオ,arpeggio,アルペジオ
アルマジロ,armadillo,アルマジロ
アルマナック,almanac,アルマナック
アルマニャック,armagnac,アルマニャック
アルミ,aluminum,アルミ
アルミサッシ,aluminium sash (aluminum) (i.e. window frame),アルミサッシ
アルミナ,alumina,アルミナ
アルミニウム,aluminum (Al),アルミニウム
アルミホイル,aluminum foil,アルミホイル
アル中,alcoholism,アルちゅう
アレイ,array,アレイ
アレキサンドライト,alexandrite,アレキサンドライト
アレグレット,allegretto,アレグレット
アレグロ,allegro,アレグロ
アレゴリー,allegory,アレゴリー
アレルギー,allergy,アレルギー
アレンジ,arrangement (of music),アレンジ
アレンジメント,arrangement,アレンジメント
アレンジャー,arranger (of music),アレンジャー
アロエ,aloe (esp. arborescens),アロエ
アロケーション,allocation,アロケーション
アロケート,allocate,アロケート
アロハ,aloha,アロハ
アロハシャツ,aloha shirt,アロハシャツ
アワー,hour,アワー
アンカー,anchor (of a ship),アンカー
アンカーマン,anchorman,アンカーマン
アンクレット,anklet,アンクレット
アングラ,underground,アングラ
アングラマネー,underground money,アングラマネー
アングル,angle,アングル
アングロアメリカ,Anglo-America,アングロアメリカ
アングロアラブ,Anglo-Arab,アングロアラブ
アングロサクソン,Anglo-Saxon,アングロサクソン
アンケート,questionnaire,アンケート
アンコール,encore,アンコール
アンコールアワー,time slot for reruns of popular TV shows,アンコールアワー
アンサホン,answer phone,アンサホン
アンサンブル,ensemble,アンサンブル
アンザイレン,roping oneself up,アンザイレン
アンジェラス,angelus,アンジェラス
アンジュレーション,undulation,アンジュレーション
アンソロジー,anthology,アンソロジー
アンタイドローン,untied loan,アンタイドローン
アンタゴニズム,antagonism,アンタゴニズム
アンタッチャブル,untouchable,アンタッチャブル
アンダー,under,アンダー
アンダーウェア,underwear,アンダーウェア
アンダーグラウンド,underground,アンダーグラウンド
アンダーコート,undercoat,アンダーコート
アンダーシャツ,undershirt,アンダーシャツ
アンダースキル,skilled labor shortage,アンダースキル
アンダースコア,underscore,アンダースコア
アンダースロー,underhand throw,アンダースロー
アンダーハンドスロー,underhand throw,アンダーハンドスロー
アンダーパー,under par,アンダーパー
アンダーパス,(roadway) underpass,アンダーパス
アンダープルーフ,underproof,アンダープルーフ
アンダープロット,underplot,アンダープロット
アンダーライン,underline,アンダーライン
アンダンテ,andante,アンダンテ
アンダンティーノ,andantino,アンダンティーノ
アンダンテカンタービレ,andante cantabile,アンダンテカンタービレ
アンチ,anti-,アンチ
アンチークファッション,antique fashion,アンチークファッション
アンチエスタブリッシュメント,anti-establishment,アンチエスタブリッシュメント
アンチテーゼ,antithesis,アンチテーゼ
アンチテアトル,anti-theatre (theater),アンチテアトル
アンチノック,antiknock,アンチノック
アンチノミー,antinomy,アンチノミー
アンチフェミニズム,antifeminism,アンチフェミニズム
アンチフリーズ,antifreeze,アンチフリーズ
アンチマグネチック,antimagnetic,アンチマグネチック
アンチモニー,antimony (Sb),アンチモニー
アンチョビー,anchovy,アンチョビー
アンチロマン,anti-roman,アンチロマン
アンツーカ,en-tout-cas (track or tennis court surface made of clay and crushed brick),アンツーカ
アンティーク,antique,アンティーク
アンテナ,antenna,アンテナ
アンテナショップ,shop used for testing sales of new products,アンテナショップ
アンデパンダン,Société des Artistes Indépendants,アンデパンダン
アントニム,antonym,アントニム
アントレ,entrée,アントレ
＆,and,アンド
アンドゥ,undoing,アンドゥ
アンドゥトロワ,"one, two, three",アンドゥトロワ
アンドロイド,android,アンドロイド
アンニュイ,ennui,アンニュイ
アンハッピー,unhappy,アンハッピー
アンバー,amber,アンバー
アンバサダー,ambassador,アンバサダー
アンバランス,unbalance,アンバランス
アンパーザー,unparser,アンパーザー
アンパイア,umpire,アンパイア
アンビアンス,ambiance,アンビアンス
アンビバレンス,ambivalence,アンビバレンス
アンファンテリブル,enfant terrible,アンファンテリブル
アンフェア,unfair,アンフェア
アンフェタミン,amphetamine,アンフェタミン
アンブレラカット,umbrella cut,アンブレラカット
アンプ,amp,アンプ
アンプリファイアー,amplifier,アンプリファイアー
アンプル,ampoule,アンプル
アンプレアブル,unplayable (ball),アンプレアブル
アンプロンプチュ,impromptu,アンプロンプチュ
アンペア,ampere,アンペア
アンマウント,unmounting (e.g. a drive),アンマウント
アンモナイト,ammonite,アンモナイト
アンモニア,ammonia,アンモニア
アンモラル,immoral,アンモラル
アンラッキー,unlucky,アンラッキー
アンロック,unlocking,アンロック
イーグル,"eagle (bird of prey, Accipitridae family)",イーグル
イーサ,ether,イーサ
イーサーボード,ether(net) board,イーサーボード
イーサネット,Ethernet,イーサネット
イージー,easy,イージー
イージーオーダー,semi-custom-made suit,イージーオーダー
イージーケア,easy care,イージーケア
イージーゴーイング,easy-going,イージーゴーイング
イージーペイメント,easy payment (system),イージーペイメント
イージーリスニング,easy listening music,イージーリスニング
イージーリスニングミュージック,easy listening music,イージーリスニングミュージック
イースター,Easter,イースター
イースタングリップ,eastern grip (in tennis),イースタングリップ
イースタンリーグ,Eastern League (one of the two minor leagues of Japanese professional baseball),イースタンリーグ
イースト,east,イースト
イーストエンド,East End,イーストエンド
イーストコースト,East Coast,イーストコースト
イーストサイド,East Side,イーストサイド
イーゼル,easel,イーゼル
イーブン,even,イーブン
イーブンパー,even par,イーブンパー
イエス,Jesus (Christ),イエス
イエスキリスト,Jesus Christ,イエスキリスト
イエスマン,yes-man,イエスマン
イエロー,yellow,イエロー
イエローカード,yellow card,イエローカード
イエロージャーナリズム,yellow journalism,イエロージャーナリズム
イエローゾーン,yellow zone,イエローゾーン
イエロープレス,yellow press,イエロープレス
イエローページ,Yellow Pages,イエローページ
イエローペーパー,yellow (news)paper,イエローペーパー
イオン,ion,イオン
イオンロケット,ion rocket,イオンロケット
イオン化,ionization,イオンか
生きがいい,fresh (e.g. fish),いきがいい
英吉利,United Kingdom,イギリス
イクイップメント,equipment,イクイップメント
イクラ,salted salmon roe,イクラ
イグアナ,iguana,イグアナ
イグニッションキー,ignition key,イグニッションキー
イグルー,igloo,イグルー
イコール,equal,イコール
イコールオポチューニティー,equal opportunity,イコールオポチューニティー
イコールパートナー,equal partner,イコールパートナー
イコノグラフィー,iconography,イコノグラフィー
イコライザ,equalizer,イコライザ
イコン,icon (religious),イコン
イスタンブール,Istanbul,イスタンブール
以色列,Israel,イスラエル
イスラム,Islam,イスラム
イスラム教徒,Muslim,イスラムきょうと
イスラム原理主義,Islamic fundamentalism,イスラムげんりしゅぎ
イズム,ism,イズム
伊太利,Italy,イタリア
イタリアンカット,Italian cut,イタリアンカット
イタリアンコーヒー,Italian coffee,イタリアンコーヒー
イタリック,italics,イタリック
イッチ,original poster (of a web-forum thread),イッチ
イッテルビウム,ytterbium (Yb),イッテルビウム
イット,"""it""",イット
イットリウム,yttrium (Y),イットリウム
イッピー,yippie,イッピー
イデー,idea,イデー
イデア,idea (in Platonic thought),イデア
イディオム,idiom,イディオム
イデオローグ,ideologue,イデオローグ
イデオロギー,ideology,イデオロギー
イド,id,イド
イニシアティブ,initiative,イニシアティブ
イニシエーション,initiation,イニシエーション
イニシエータ,initiator,イニシエータ
イニシャライズ,initialize,イニシャライズ
イニシャル,(one's) initials,イニシャル
イニング,inning,イニング
犬薄荷,catnip (Nepeta cataria),いぬはっか
イノシン酸,inosinic acid,イノシンさん
イノセンス,innocence,イノセンス
イノセント,innocent,イノセント
イノベーション,innovation,イノベーション
イブ,eve (esp. Christmas Eve),イブ
イブニング,evening,イブニング
イブニングドレス,evening dress,イブニングドレス
イベント,event,イベント
イマージェンシー,emergency,イマージェンシー
イマジニアリング,imagineering,イマジニアリング
イマジネーション,imagination,イマジネーション
イミグレーション,immigration,イミグレーション
イミテーション,imitation,イミテーション
イミディエイト,immediate,イミディエイト
イメージ,image (in one's mind),イメージ
イメージアップ,improvement in image (of someone or something),イメージアップ
イメージキャラクター,mascot,イメージキャラクター
イメージサーベイ,image survey,イメージサーベイ
イメージダウン,harming one's image,イメージダウン
イメージチェンジ,image change,イメージチェンジ
イメージメーカー,image maker,イメージメーカー
イメージリサーチ,image research,イメージリサーチ
イメチェン,image change,イメチェン
イヤーブック,yearbook,イヤーブック
イヤバルブ,ear valve,イヤバルブ
イヤプロテクター,ear protector,イヤプロテクター
イヤホン,earphones,イヤホン
イヤマーク,earmark,イヤマーク
イヤラウンドファッション,year-round fashion,イヤラウンドファッション
イヤリング,earring,イヤリング
イラク,Iraq,イラク
イラショナル,irrational,イラショナル
イラスト,illustration,イラスト
イラストマップ,illustrated map,イラストマップ
イラストレーション,illustration,イラストレーション
イラストレーター,illustrator,イラストレーター
伊蘭,Iran,イラン
イリーガル,illegal,イリーガル
イリジウム,iridium (Ir),イリジウム
イリノイ,Illinois,イリノイ
イリュージョン,illusion,イリュージョン
イリュミネイション,illumination,イリュミネイション
イルミネーション,illumination,イルミネーション
イレーザー,eraser,イレーザー
イレギュラー,irregular,イレギュラー
イレギュラーバウンド,irregular bound (tennis),イレギュラーバウンド
イレブン,eleven,イレブン
イレブンナイン,eleven nines (i.e. 99.999999999%),イレブンナイン
イロコイ,Iroquois,イロコイ
ＩＮ,"in (of a ball; in tennis, etc.)",イン
インカム,income,インカム
インカムゲイン,money earned from interest or dividends,インカムゲイン
インカムタックス,income tax,インカムタックス
インキュベーション,incubation,インキュベーション
インキュベータ,incubator,インキュベータ
インキュベート,incubate,インキュベート
インク,ink,インク
インクリメンタル,incremental,インクリメンタル
インクリメント,increment,インクリメント
インクルード,include,インクルード
英蘭,England,イングランド
イングリッシュグリップ,English grip (tennis),イングリッシュグリップ
イングリッシュブレックファースト,English breakfast,イングリッシュブレックファースト
イングリッシュホルン,English horn,イングリッシュホルン
インコース,inside track,インコース
インゴット,ingot,インゴット
インサーキットテスタ,in-circuit tester,インサーキットテスタ
インサート,insertion,インサート
インサイダー,insider,インサイダー
インサイドストーリー,inside story,インサイドストーリー
インサイドベースボール,inside baseball,インサイドベースボール
インサイドベルト,inside belt,インサイドベルト
インサイドレポート,inside report,インサイドレポート
インサイドワーク,inside work,インサイドワーク
インザホール,in the hole,インザホール
インシデント,incident,インシデント
インシュート,inshoot,インシュート
インシュランス,insurance,インシュランス
インシュラリティー,insularity,インシュラリティー
インスリン,insulin,インスリン
インシュレーション,insulation,インシュレーション
インジウム,indium (In),インジウム
インジェクション,injection,インジェクション
インジェクター,injector,インジェクター
インジケーター,indicator,インジケーター
インジゴ,indigo (dye),インジゴ
インスタンス,instance,インスタンス
インスタント,instant,インスタント
インスタント食品,instant foods,インスタントしょくひん
インスティテューション,institution,インスティテューション
インスティンクト,instinct,インスティンクト
インステップキック,instep kick (soccer),インステップキック
インスト,instrumental,インスト
インストーラ,installer,インストーラ
インストール,installation (esp. software),インストール
インストールメント,installment,インストールメント
インストラクション,instruction,インストラクション
インストラクター,instructor,インストラクター
インスピレーション,inspiration,インスピレーション
インスペクション,inspection,インスペクション
インスペクター,inspector,インスペクター
インセキュリティー,insecurity,インセキュリティー
インセスト,incest,インセスト
インセンス,incense,インセンス
インセンティブ,incentive,インセンティブ
インセンティブセール,incentive sale,インセンティブセール
インソール,insole,インソール
インター,interchange,インター
インターカット,intercut,インターカット
インターカレッジ,intercollegiate,インターカレッジ
インターコース,intercourse,インターコース
インターセプター,interceptor,インターセプター
インターゼミ,inter seminar,インターゼミ
インターゼミナール,inter seminar,インターゼミナール
インターチェンジ,interchange,インターチェンジ
インターナショナル,international,インターナショナル
インターナショナルバカロレア,International Baccalaureate,インターナショナルバカロレア
インターナショナリズム,internationalism,インターナショナリズム
インターネット,Internet,インターネット
インターネットワーキング,internetworking,インターネットワーキング
インターネットワーク,internetwork,インターネットワーク
インターハイ,inter-scholastic athletics competition,インターハイ
インターバル,interval,インターバル
インターバルトレーニング,interval training,インターバルトレーニング
インタフェース,interface,インタフェース
インターフェア,interfere,インターフェア
インターフェアランス,interference,インターフェアランス
インターフェロン,interferon,インターフェロン
インターホン,intercom,インターホン
インターポール,Interpol,インターポール
インターリーブ,interleave,インターリーブ
インターン,intern,インターン
インターセプト,interception (of a pass),インターセプト
インタビュー,"interview (i.e. television, newspaper, etc.)",インタビュー
インタビュアー,interviewer,インタビュアー
インタプリタ,"interpreter (languages, events, etc.)",インタプリタ
インタプリティブ,interpretive,インタプリティブ
インタプリト,interpret,インタプリト
インタラクション,interaction,インタラクション
インタラクティブ,interactive,インタラクティブ
インタラプト,interrupt,インタラプト
インタレスト,interest,インタレスト
インダイレクト,indirect,インダイレクト
インダクション,induction,インダクション
インダストリー,industry,インダストリー
インダストリアル,industrial,インダストリアル
インダストリアルエンジニアリング,industrial engineering,インダストリアルエンジニアリング
インダストリアルデザイナー,industrial designer,インダストリアルデザイナー
インダストリアルデザイン,industrial design,インダストリアルデザイン
吋,inch,インチ
インチキ,cheating,インチキ
インテグレーション,integration,インテグレーション
インテグレーテット,integrated,インテグレーテット
インテグレート,integrate,インテグレート
インテジャ,integer,インテジャ
インテリ,intellectual,インテリ
インテリア,"interior (of building, room, vehicle, etc.)",インテリア
インテリアアドバイサー,interior adviser,インテリアアドバイサー
インテリアクラフト,interior craft,インテリアクラフト
インテリアコーディネーター,interior coordinator,インテリアコーディネーター
インテリアデザイナー,interior designer,インテリアデザイナー
インテリアデザイン,interior design,インテリアデザイン
インテリゲンチャ,intelligentsia,インテリゲンチャ
インテリジェンス,intelligence,インテリジェンス
インテリジェンスサービス,intelligence service,インテリジェンスサービス
インテリジェンステスト,intelligence test,インテリジェンステスト
インテリジェント,intelligent,インテリジェント
インテリジェントシティー,intelligent city,インテリジェントシティー
インテリジェントターミナル,intelligent terminal,インテリジェントターミナル
インテリジェントビル,intelligent building,インテリジェントビル
インテル,Intel (chip manufacturer),インテル
インテルクチュアル,intellectual,インテルクチュアル
インテンシティ,intensity,インテンシティ
インテンシブ,intensive,インテンシブ
インテンショナル,intentional,インテンショナル
インディアナ,Indiana,インディアナ
インディアペーパー,India paper,インディアペーパー
インディアン,(American) Indian,インディアン
インディアンサマー,Indian summer,インディアンサマー
インディアンジュエリー,Indian jewellery (jewelry),インディアンジュエリー
インディア紙,India paper,インディアかみ
インディビジュアリスト,individualist,インディビジュアリスト
インディビジュアリズム,individualism,インディビジュアリズム
インディビジュアル,individual,インディビジュアル
インディペンデント,independent,インディペンデント
インディペンデントリビング運動,independent living movement,インディペンデントリビングうんどう
インデキシング,indexing,インデキシング
インデクセーション,indexation,インデクセーション
インデックス,index,インデックス
インデックスファンド,index fund,インデックスファンド
インデンテーション,indentation,インデンテーション
インデント,indent,インデント
イントネーション,intonation,イントネーション
イントロ,intro,イントロ
イントロダクション,introduction,イントロダクション
印度,India,インド
インドア,indoor,インドア
インドアゲーム,indoor game,インドアゲーム
インドアスポーツ,indoor sports,インドアスポーツ
印度支那,Indochina,インドシナ
印度尼西亜,Indonesia,インドネシア
インナースペース,inner space,インナースペース
インナートリップ,inner trip,インナートリップ
インナーベンチャー,inner venture,インナーベンチャー
インナーライフ,inner life,インナーライフ
インハイ,high and inside pitch,インハイ
インハウス,in-house,インハウス
インバース,inverse,インバース
インバーター,inverter,インバーター
インバランス,imbalance,インバランス
インパクト,impact (on),インパクト
インパクトローン,impact loan,インパクトローン
インパネ,instrument panel,インパネ
インパルス,impulse,インパルス
インビジブル,invisible,インビジブル
インビジブルリスク,invisible risk,インビジブルリスク
インビテーション,invitation,インビテーション
インピーダンス,impedance,インピーダンス
インファイト,infighting (boxing),インファイト
インフィールドフライ,infield fly,インフィールドフライ
インフェリオリティーコンプレックス,inferiority complex,インフェリオリティーコンプレックス
インフェルノ,inferno,インフェルノ
インフォ,information,インフォ
インフォーマー,informer,インフォーマー
インフォーマル,informal,インフォーマル
インフォーマルオーガニゼーション,informal organization,インフォーマルオーガニゼーション
インフォーマルドレス,informal dress,インフォーマルドレス
インフォメーション,information,インフォメーション
インフォメーションアナリスト,information analyst,インフォメーションアナリスト
インフォメーションギャプ,information gap,インフォメーションギャプ
インフォメーションサイエンス,information science,インフォメーションサイエンス
インフォメーションシステム,information system,インフォメーションシステム
インフォメーションシンジケート,information syndicate,インフォメーションシンジケート
インフォメーションセオリー,information theory,インフォメーションセオリー
インフォメーションソサイエティー,information society,インフォメーションソサイエティー
インフォメーションディスクロージャー,information disclosure,インフォメーションディスクロージャー
インフォメーションデモクラシー,information democracy,インフォメーションデモクラシー
インフォメーションブローカー,information broker,インフォメーションブローカー
インフォメーションプロセッサー,information processor,インフォメーションプロセッサー
インフォメーションプロセッシング,information processing,インフォメーションプロセッシング
インフォメーションプロバイダー,information provider,インフォメーションプロバイダー
インフォメーションユーティリティー,information utility,インフォメーションユーティリティー
インフォメーションリテラシー,information literacy,インフォメーションリテラシー
インフォメーションリトリーバル,information retrieval,インフォメーションリトリーバル
インフォメーションレボリューション,information revolution,インフォメーションレボリューション
インフラ,infrastructure,インフラ
インフラストラクチャー,infrastructure,インフラストラクチャー
インフラ開発,infrastructure development,インフラかいはつ
インフルエンザ,influenza,インフルエンザ
インフルエンザウイルス,influenza virus,インフルエンザウイルス
インフルエンス,influence,インフルエンス
インフレ,inflation,インフレ
インフレーション,inflation,インフレーション
インフレギャップ,inflationary gap,インフレギャップ
インフレヘッジ,inflation hedge (hedge against inflation),インフレヘッジ
インプット,input,インプット
インプリケーション,implication,インプリケーション
インプリメンタ,implementor,インプリメンタ
インプリメンテーション,implementation,インプリメンテーション
インプリメント,implementation,インプリメント
インプレー,in play (ball),インプレー
インプレッシブ,impressive,インプレッシブ
インプレッション,impression,インプレッション
インプロビゼーション,improvisation,インプロビゼーション
インヘリタンス,inheritance,インヘリタンス
インベーダー,invader,インベーダー
インベステメントカウンセラー,investment counselor,インベステメントカウンセラー
インベステメントバンク,investment bank,インベステメントバンク
インベストメント,investment,インベストメント
インベストメントアナリスト,investment analyst,インベストメントアナリスト
インベンション,invention,インベンション
インベントリー,inventory,インベントリー
インベントリーサイクル,inventory cycles,インベントリーサイクル
インベントリーファイナンス,inventory finance,インベントリーファイナンス
インベントリーリカバリー,inventory recovery,インベントリーリカバリー
インベントリーリセッション,inventory recession,インベントリーリセッション
インペーダンス,impedance,インペーダンス
インペリアル,imperial,インペリアル
インボイス,invoice,インボイス
インボルブ,involve,インボルブ
インポ,impotence,インポ
インポータント,important,インポータント
インポート,import,インポート
インポシブル,impossible,インポシブル
インポテンス,impotence,インポテンス
インライン,in-line,インライン
インヴァリアント,invariant,インヴァリアント
インヴェンション,invention,インヴェンション
インヴォイス,invoice,インヴォイス
イ短調,A minor,イたんちょう
イ長調,A major,イちょうちょう
ウースターソース,Worcester sauce,ウースターソース
ウーステッド,worsted,ウーステッド
ウーマン,woman,ウーマン
ウーマンハンター,woman hunter,ウーマンハンター
ウーマンパワー,woman power,ウーマンパワー
ウーマンリブ,women's liberation,ウーマンリブ
ウーリーコットン,woolly cotton,ウーリーコットン
ウーリーナイロン,woolly nylon,ウーリーナイロン
ウール,wool,ウール
ウーロン茶,oolong tea,ウーロンちゃ
ウィーク,week,ウィーク
ウィークエンド,weekend,ウィークエンド
ウィークデー,weekday,ウィークデー
ウィークリー,weekly,ウィークリー
ウィーンアピール,Vienna Appeal,ウィーンアピール
ウィク,wick,ウィク
ウィジェット,widget,ウィジェット
ウィジャ板,ouija board,ウィジャばん
ウイスキー,whisky,ウイスキー
ウインカー,(car) turn signal,ウインカー
ウィングス,wings,ウィングス
ウィンター,winter,ウィンター
ウィンドウ,window,ウィンドウ
ウインド,wind,ウインド
ウィ,yes,ウィ
ウイークエンドカーペンター,weekend carpenter,ウイークエンドカーペンター
ウイークエンドファーザー,weekend father,ウイークエンドファーザー
ウイークエンドペインター,weekend painter,ウイークエンドペインター
ウィークポイント,weak point,ウィークポイント
ウィザード,wizard,ウィザード
ウイスキーサワー,whisky sour,ウイスキーサワー
ウイスキーボンボン,whisky bonbon,ウイスキーボンボン
ウイック回転,Wick rotation,ウイックかいてん
ウィッグ,wig,ウィッグ
ウイット,wit,ウイット
ウィドー,widow,ウィドー
ウイナー,winner,ウイナー
ウイニングショット,"winning shot (tennis, ball games)",ウイニングショット
ウイニングボール,winning ball,ウイニングボール
ウィリー,wheelie,ウィリー
ウイルス,virus,ウイルス
ウインク,wink,ウインク
ウイング,"wing (bird, aircraft, etc.)",ウイング
ウイングカラー,wing collar,ウイングカラー
ウィンザーチェア,Windsor chair,ウィンザーチェア
ウインタースポーツ,winter sports,ウインタースポーツ
ウインターリゾート,winter resort,ウインターリゾート
ウインチ,winch,ウインチ
ウィンドウショッピング,window-gazing,ウィンドウショッピング
ウィンドウディスプレイ,window display,ウィンドウディスプレイ
ウインドードレッシング,window dressing,ウインドードレッシング
ウインドサーファー,windsurfer,ウインドサーファー
ウィンドサーフィン,windsurfing,ウィンドサーフィン
ウインドフォール,windfall,ウインドフォール
ウインドブレーカー,windbreaker,ウインドブレーカー
ウインドヤッケ,windbreaker,ウインドヤッケ
ウインナコーヒー,Vienna coffee,ウインナコーヒー
ウインナーソーセージ,Vienna sausage,ウインナーソーセージ
ウィンブルドン,Wimbledon (tennis tournament),ウィンブルドン
ウェイター,waiter,ウェイター
ウェイト,weight,ウェイト
ウェイトレス,waitress,ウェイトレス
ウェーバー,waiver,ウェーバー
ウェールズ,Wales,ウェールズ
ウェア,wear,ウェア
